Sample	Reads
Meg19_1012	866464934
AB_3033	612704160
Meg19_02	597321106
WB_1	650012664
Meg22_24	734754594
AB_69	635789546
AB_1215	792150312
Meg22_810	795839608
Meg22_1214	901869918
AB_03	698789936
Meg22_1416	686201372
Meg22_1012	645601120
Meg22_02	713154406
Meg22_1618	578982686
Meg19_46	669076050
Meg22_46	725380964
