Original_Contig_Name	Bin	Sample
AB_1215_scaffold_100462	NoBin	AB_1215
AB_1215_scaffold_100463	NoBin	AB_1215
AB_1215_scaffold_100464	AB_1215_Bin_73	AB_1215
AB_1215_scaffold_100465	NoBin	AB_1215
AB_1215_scaffold_100466	NoBin	AB_1215
AB_1215_scaffold_100467	AB_1215_Bin_94	AB_1215
AB_1215_scaffold_100468	AB_1215_Bin_145	AB_1215
AB_1215_scaffold_100469	NoBin	AB_1215
AB_1215_scaffold_10047	AB_1215_Bin_18	AB_1215
AB_1215_scaffold_100470	NoBin	AB_1215
AB_1215_scaffold_100471	NoBin	AB_1215
AB_1215_scaffold_100472	NoBin	AB_1215
AB_1215_scaffold_100473	AB_1215_Bin_85	AB_1215
AB_1215_scaffold_100474	NoBin	AB_1215
AB_1215_scaffold_100475	NoBin	AB_1215
AB_1215_scaffold_100476	NoBin	AB_1215
AB_1215_scaffold_100477	NoBin	AB_1215
AB_1215_scaffold_100478	NoBin	AB_1215
AB_1215_scaffold_100479	NoBin	AB_1215
AB_1215_scaffold_10048	AB_1215_Bin_76	AB_1215
AB_1215_scaffold_100480	NoBin	AB_1215
AB_1215_scaffold_100481	NoBin	AB_1215
AB_1215_scaffold_100482	NoBin	AB_1215
AB_1215_scaffold_100483	NoBin	AB_1215
AB_1215_scaffold_100484	NoBin	AB_1215
AB_1215_scaffold_100485	NoBin	AB_1215
AB_1215_scaffold_100486	AB_1215_Bin_80	AB_1215
AB_1215_scaffold_100487	NoBin	AB_1215
AB_1215_scaffold_100488	NoBin	AB_1215
AB_1215_scaffold_100489	AB_1215_Bin_10	AB_1215
AB_1215_scaffold_10049	AB_1215_Bin_124	AB_1215
AB_1215_scaffold_100490	AB_1215_Bin_16	AB_1215
AB_1215_scaffold_100491	AB_1215_Bin_3	AB_1215
AB_1215_scaffold_100492	NoBin	AB_1215
AB_1215_scaffold_100493	NoBin	AB_1215
AB_1215_scaffold_100494	AB_1215_Bin_97	AB_1215
AB_1215_scaffold_100495	NoBin	AB_1215
AB_1215_scaffold_100496	NoBin	AB_1215
AB_1215_scaffold_100497	NoBin	AB_1215
AB_1215_scaffold_100498	NoBin	AB_1215
AB_1215_scaffold_100499	AB_1215_Bin_149	AB_1215
AB_1215_scaffold_1005	AB_1215_Bin_128	AB_1215
AB_1215_scaffold_10050	AB_1215_Bin_23	AB_1215
AB_1215_scaffold_100500	NoBin	AB_1215
AB_1215_scaffold_100501	NoBin	AB_1215
AB_1215_scaffold_100502	NoBin	AB_1215
AB_1215_scaffold_100503	AB_1215_Bin_141	AB_1215
AB_1215_scaffold_100504	AB_1215_Bin_131	AB_1215
AB_1215_scaffold_100505	NoBin	AB_1215
AB_1215_scaffold_100506	NoBin	AB_1215
AB_1215_scaffold_100507	AB_1215_Bin_27	AB_1215
AB_1215_scaffold_100508	NoBin	AB_1215
AB_1215_scaffold_100509	NoBin	AB_1215
AB_1215_scaffold_10051	AB_1215_Bin_131	AB_1215
AB_1215_scaffold_100510	NoBin	AB_1215
AB_1215_scaffold_100511	NoBin	AB_1215
AB_1215_scaffold_100512	NoBin	AB_1215
AB_1215_scaffold_100513	NoBin	AB_1215
AB_1215_scaffold_100514	NoBin	AB_1215
AB_1215_scaffold_100515	NoBin	AB_1215
AB_1215_scaffold_100516	NoBin	AB_1215
AB_1215_scaffold_100517	NoBin	AB_1215
AB_1215_scaffold_100518	NoBin	AB_1215
AB_1215_scaffold_100519	NoBin	AB_1215
AB_1215_scaffold_10052	AB_1215_Bin_13	AB_1215
AB_1215_scaffold_100520	NoBin	AB_1215
AB_1215_scaffold_100521	NoBin	AB_1215
AB_1215_scaffold_100522	AB_1215_Bin_72	AB_1215
AB_1215_scaffold_100523	NoBin	AB_1215
AB_1215_scaffold_100524	AB_1215_Bin_16	AB_1215
AB_1215_scaffold_100525	NoBin	AB_1215
AB_1215_scaffold_100526	NoBin	AB_1215
AB_1215_scaffold_100527	NoBin	AB_1215
AB_1215_scaffold_100528	NoBin	AB_1215
AB_1215_scaffold_100529	NoBin	AB_1215
AB_1215_scaffold_10053	NoBin	AB_1215
AB_1215_scaffold_100530	NoBin	AB_1215
AB_1215_scaffold_100531	NoBin	AB_1215
AB_1215_scaffold_100532	AB_1215_Bin_45	AB_1215
AB_1215_scaffold_100533	NoBin	AB_1215
AB_1215_scaffold_100534	NoBin	AB_1215
AB_1215_scaffold_100535	AB_1215_Bin_47	AB_1215
AB_1215_scaffold_100536	NoBin	AB_1215
AB_1215_scaffold_100537	AB_1215_Bin_25	AB_1215
AB_1215_scaffold_100538	NoBin	AB_1215
AB_1215_scaffold_100539	NoBin	AB_1215
AB_1215_scaffold_10054	AB_1215_Bin_11	AB_1215
AB_1215_scaffold_100540	NoBin	AB_1215
AB_1215_scaffold_100541	NoBin	AB_1215
AB_1215_scaffold_100542	NoBin	AB_1215
AB_1215_scaffold_100543	NoBin	AB_1215
AB_1215_scaffold_100544	NoBin	AB_1215
AB_1215_scaffold_100545	AB_1215_Bin_58	AB_1215
AB_1215_scaffold_100546	NoBin	AB_1215
AB_1215_scaffold_100547	NoBin	AB_1215
AB_1215_scaffold_100548	NoBin	AB_1215
AB_1215_scaffold_100549	NoBin	AB_1215
AB_1215_scaffold_10055	AB_1215_Bin_23	AB_1215
AB_1215_scaffold_100550	NoBin	AB_1215
AB_1215_scaffold_100551	AB_1215_Bin_43	AB_1215
AB_1215_scaffold_100552	NoBin	AB_1215
AB_1215_scaffold_100553	NoBin	AB_1215
AB_1215_scaffold_100554	NoBin	AB_1215
AB_1215_scaffold_100555	NoBin	AB_1215
AB_1215_scaffold_100556	NoBin	AB_1215
AB_1215_scaffold_100557	AB_1215_Bin_61	AB_1215
AB_1215_scaffold_100558	NoBin	AB_1215
AB_1215_scaffold_100559	NoBin	AB_1215
AB_1215_scaffold_10056	AB_1215_Bin_118	AB_1215
AB_1215_scaffold_100560	AB_1215_Bin_136	AB_1215
AB_1215_scaffold_100561	AB_1215_Bin_18	AB_1215
AB_1215_scaffold_100562	NoBin	AB_1215
AB_1215_scaffold_100563	NoBin	AB_1215
AB_1215_scaffold_100564	NoBin	AB_1215
AB_1215_scaffold_100565	NoBin	AB_1215
AB_1215_scaffold_100566	AB_1215_Bin_133	AB_1215
AB_1215_scaffold_100567	NoBin	AB_1215
AB_1215_scaffold_100568	AB_1215_Bin_74	AB_1215
AB_1215_scaffold_100569	NoBin	AB_1215
AB_1215_scaffold_10057	NoBin	AB_1215
AB_1215_scaffold_100570	NoBin	AB_1215
AB_1215_scaffold_100571	AB_1215_Bin_59	AB_1215
AB_1215_scaffold_100572	AB_1215_Bin_19	AB_1215
AB_1215_scaffold_100573	NoBin	AB_1215
AB_1215_scaffold_100574	NoBin	AB_1215
AB_1215_scaffold_100575	NoBin	AB_1215
AB_1215_scaffold_100576	NoBin	AB_1215
AB_1215_scaffold_100577	NoBin	AB_1215
AB_1215_scaffold_100578	NoBin	AB_1215
AB_1215_scaffold_100579	NoBin	AB_1215
AB_1215_scaffold_10058	NoBin	AB_1215
AB_1215_scaffold_100580	AB_1215_Bin_113	AB_1215
AB_1215_scaffold_100581	NoBin	AB_1215
AB_1215_scaffold_100582	NoBin	AB_1215
AB_1215_scaffold_100583	AB_1215_Bin_147	AB_1215
AB_1215_scaffold_100584	AB_1215_Bin_100	AB_1215
AB_1215_scaffold_100585	AB_1215_Bin_27	AB_1215
AB_1215_scaffold_100586	NoBin	AB_1215
AB_1215_scaffold_100587	NoBin	AB_1215
AB_1215_scaffold_100588	AB_1215_Bin_105	AB_1215
AB_1215_scaffold_100589	NoBin	AB_1215
AB_1215_scaffold_10059	AB_1215_Bin_84	AB_1215
AB_1215_scaffold_100590	NoBin	AB_1215
AB_1215_scaffold_100591	NoBin	AB_1215
AB_1215_scaffold_100592	NoBin	AB_1215
AB_1215_scaffold_100593	AB_1215_Bin_144	AB_1215
AB_1215_scaffold_100594	NoBin	AB_1215
AB_1215_scaffold_100595	AB_1215_Bin_143	AB_1215
AB_1215_scaffold_100596	NoBin	AB_1215
AB_1215_scaffold_100597	NoBin	AB_1215
AB_1215_scaffold_100598	AB_1215_Bin_80	AB_1215
AB_1215_scaffold_100599	NoBin	AB_1215
AB_1215_scaffold_1006	NoBin	AB_1215
AB_1215_scaffold_10060	NoBin	AB_1215
AB_1215_scaffold_100600	NoBin	AB_1215
AB_1215_scaffold_100601	NoBin	AB_1215
AB_1215_scaffold_100602	NoBin	AB_1215
AB_1215_scaffold_100603	NoBin	AB_1215
AB_1215_scaffold_100604	NoBin	AB_1215
AB_1215_scaffold_100605	NoBin	AB_1215
AB_1215_scaffold_100606	NoBin	AB_1215
AB_1215_scaffold_100607	NoBin	AB_1215
AB_1215_scaffold_100608	NoBin	AB_1215
AB_1215_scaffold_100609	NoBin	AB_1215
AB_1215_scaffold_10061	AB_1215_Bin_71	AB_1215
AB_1215_scaffold_100610	AB_1215_Bin_5	AB_1215
AB_1215_scaffold_100611	NoBin	AB_1215
AB_1215_scaffold_100612	NoBin	AB_1215
AB_1215_scaffold_100613	NoBin	AB_1215
AB_1215_scaffold_100614	NoBin	AB_1215
AB_1215_scaffold_100615	NoBin	AB_1215
AB_1215_scaffold_100616	NoBin	AB_1215
AB_1215_scaffold_100617	NoBin	AB_1215
AB_1215_scaffold_100618	NoBin	AB_1215
AB_1215_scaffold_100619	AB_1215_Bin_38	AB_1215
AB_1215_scaffold_10062	AB_1215_Bin_3	AB_1215
AB_1215_scaffold_100620	AB_1215_Bin_56	AB_1215
AB_1215_scaffold_100621	AB_1215_Bin_147	AB_1215
AB_1215_scaffold_100622	NoBin	AB_1215
AB_1215_scaffold_100623	NoBin	AB_1215
AB_1215_scaffold_100624	NoBin	AB_1215
AB_1215_scaffold_100625	NoBin	AB_1215
AB_1215_scaffold_100626	NoBin	AB_1215
AB_1215_scaffold_100627	NoBin	AB_1215
AB_1215_scaffold_100628	NoBin	AB_1215
AB_1215_scaffold_100629	NoBin	AB_1215
AB_1215_scaffold_10063	NoBin	AB_1215
AB_1215_scaffold_100630	NoBin	AB_1215
AB_1215_scaffold_100631	NoBin	AB_1215
AB_1215_scaffold_100632	NoBin	AB_1215
AB_1215_scaffold_100633	AB_1215_Bin_61	AB_1215
AB_1215_scaffold_100634	AB_1215_Bin_7	AB_1215
AB_1215_scaffold_100635	NoBin	AB_1215
AB_1215_scaffold_100636	AB_1215_Bin_37	AB_1215
AB_1215_scaffold_100637	NoBin	AB_1215
AB_1215_scaffold_100638	NoBin	AB_1215
AB_1215_scaffold_100639	NoBin	AB_1215
AB_1215_scaffold_10064	NoBin	AB_1215
AB_1215_scaffold_100640	AB_1215_Bin_16	AB_1215
AB_1215_scaffold_100641	NoBin	AB_1215
AB_1215_scaffold_100642	NoBin	AB_1215
AB_1215_scaffold_100643	NoBin	AB_1215
AB_1215_scaffold_100644	NoBin	AB_1215
AB_1215_scaffold_100645	AB_1215_Bin_115	AB_1215
AB_1215_scaffold_100646	NoBin	AB_1215
AB_1215_scaffold_100647	NoBin	AB_1215
AB_1215_scaffold_100648	NoBin	AB_1215
AB_1215_scaffold_100649	NoBin	AB_1215
AB_1215_scaffold_10065	AB_1215_Bin_50	AB_1215
AB_1215_scaffold_100650	NoBin	AB_1215
AB_1215_scaffold_100651	NoBin	AB_1215
AB_1215_scaffold_100652	AB_1215_Bin_8	AB_1215
AB_1215_scaffold_100653	NoBin	AB_1215
AB_1215_scaffold_100654	NoBin	AB_1215
AB_1215_scaffold_100655	AB_1215_Bin_19	AB_1215
AB_1215_scaffold_100656	NoBin	AB_1215
AB_1215_scaffold_100657	AB_1215_Bin_149	AB_1215
AB_1215_scaffold_100658	NoBin	AB_1215
AB_1215_scaffold_100659	NoBin	AB_1215
AB_1215_scaffold_10066	NoBin	AB_1215
AB_1215_scaffold_100660	NoBin	AB_1215
AB_1215_scaffold_100661	NoBin	AB_1215
AB_1215_scaffold_100662	AB_1215_Bin_96	AB_1215
AB_1215_scaffold_100663	AB_1215_Bin_54	AB_1215
AB_1215_scaffold_100664	AB_1215_Bin_115	AB_1215
AB_1215_scaffold_100665	NoBin	AB_1215
AB_1215_scaffold_100666	NoBin	AB_1215
AB_1215_scaffold_100667	NoBin	AB_1215
AB_1215_scaffold_100668	NoBin	AB_1215
AB_1215_scaffold_100669	NoBin	AB_1215
AB_1215_scaffold_10067	NoBin	AB_1215
AB_1215_scaffold_100670	NoBin	AB_1215
AB_1215_scaffold_100671	NoBin	AB_1215
AB_1215_scaffold_100672	NoBin	AB_1215
AB_1215_scaffold_100673	NoBin	AB_1215
AB_1215_scaffold_100674	NoBin	AB_1215
AB_1215_scaffold_100675	NoBin	AB_1215
AB_1215_scaffold_100676	NoBin	AB_1215
AB_1215_scaffold_100677	NoBin	AB_1215
AB_1215_scaffold_100678	NoBin	AB_1215
AB_1215_scaffold_100679	NoBin	AB_1215
AB_1215_scaffold_10068	AB_1215_Bin_61	AB_1215
AB_1215_scaffold_100680	NoBin	AB_1215
AB_1215_scaffold_100681	AB_1215_Bin_23	AB_1215
AB_1215_scaffold_100682	NoBin	AB_1215
AB_1215_scaffold_100683	AB_1215_Bin_151	AB_1215
AB_1215_scaffold_100684	NoBin	AB_1215
AB_1215_scaffold_100685	NoBin	AB_1215
AB_1215_scaffold_100686	AB_1215_Bin_124	AB_1215
AB_1215_scaffold_100687	NoBin	AB_1215
AB_1215_scaffold_100688	NoBin	AB_1215
AB_1215_scaffold_100689	NoBin	AB_1215
AB_1215_scaffold_10069	NoBin	AB_1215
AB_1215_scaffold_100690	AB_1215_Bin_8	AB_1215
AB_1215_scaffold_100691	AB_1215_Bin_144	AB_1215
AB_1215_scaffold_100692	NoBin	AB_1215
AB_1215_scaffold_100693	AB_1215_Bin_30	AB_1215
AB_1215_scaffold_100694	NoBin	AB_1215
AB_1215_scaffold_100695	NoBin	AB_1215
AB_1215_scaffold_100696	NoBin	AB_1215
AB_1215_scaffold_100697	NoBin	AB_1215
AB_1215_scaffold_100698	NoBin	AB_1215
AB_1215_scaffold_100699	NoBin	AB_1215
AB_1215_scaffold_1007	NoBin	AB_1215
AB_1215_scaffold_10070	AB_1215_Bin_56	AB_1215
AB_1215_scaffold_100700	AB_1215_Bin_37	AB_1215
AB_1215_scaffold_100701	NoBin	AB_1215
AB_1215_scaffold_100702	NoBin	AB_1215
AB_1215_scaffold_100703	AB_1215_Bin_139	AB_1215
AB_1215_scaffold_100704	NoBin	AB_1215
AB_1215_scaffold_100705	NoBin	AB_1215
AB_1215_scaffold_100706	NoBin	AB_1215
AB_1215_scaffold_100707	NoBin	AB_1215
AB_1215_scaffold_100708	NoBin	AB_1215
AB_1215_scaffold_100709	NoBin	AB_1215
AB_1215_scaffold_10071	NoBin	AB_1215
AB_1215_scaffold_100710	NoBin	AB_1215
AB_1215_scaffold_100711	AB_1215_Bin_94	AB_1215
AB_1215_scaffold_100712	NoBin	AB_1215
AB_1215_scaffold_100713	NoBin	AB_1215
AB_1215_scaffold_100714	NoBin	AB_1215
AB_1215_scaffold_100715	NoBin	AB_1215
AB_1215_scaffold_100716	NoBin	AB_1215
AB_1215_scaffold_100717	NoBin	AB_1215
AB_1215_scaffold_100718	NoBin	AB_1215
AB_1215_scaffold_100719	NoBin	AB_1215
AB_1215_scaffold_10072	AB_1215_Bin_112	AB_1215
AB_1215_scaffold_100720	NoBin	AB_1215
AB_1215_scaffold_100721	NoBin	AB_1215
AB_1215_scaffold_100722	NoBin	AB_1215
AB_1215_scaffold_100723	NoBin	AB_1215
AB_1215_scaffold_100724	NoBin	AB_1215
AB_1215_scaffold_100725	AB_1215_Bin_92	AB_1215
AB_1215_scaffold_100726	NoBin	AB_1215
AB_1215_scaffold_100727	NoBin	AB_1215
AB_1215_scaffold_100728	NoBin	AB_1215
AB_1215_scaffold_100729	NoBin	AB_1215
AB_1215_scaffold_10073	AB_1215_Bin_147	AB_1215
AB_1215_scaffold_100730	AB_1215_Bin_73	AB_1215
AB_1215_scaffold_100731	NoBin	AB_1215
AB_1215_scaffold_100732	NoBin	AB_1215
AB_1215_scaffold_100733	AB_1215_Bin_142	AB_1215
AB_1215_scaffold_100734	NoBin	AB_1215
AB_1215_scaffold_100735	NoBin	AB_1215
AB_1215_scaffold_100736	NoBin	AB_1215
AB_1215_scaffold_100737	NoBin	AB_1215
AB_1215_scaffold_100738	NoBin	AB_1215
AB_1215_scaffold_100739	NoBin	AB_1215
AB_1215_scaffold_10074	NoBin	AB_1215
AB_1215_scaffold_100740	NoBin	AB_1215
AB_1215_scaffold_100741	NoBin	AB_1215
AB_1215_scaffold_100742	NoBin	AB_1215
AB_1215_scaffold_100743	NoBin	AB_1215
AB_1215_scaffold_100744	NoBin	AB_1215
AB_1215_scaffold_100745	AB_1215_Bin_10	AB_1215
AB_1215_scaffold_100746	AB_1215_Bin_96	AB_1215
AB_1215_scaffold_100747	AB_1215_Bin_101	AB_1215
AB_1215_scaffold_100748	NoBin	AB_1215
AB_1215_scaffold_100749	NoBin	AB_1215
AB_1215_scaffold_10075	NoBin	AB_1215
AB_1215_scaffold_100750	NoBin	AB_1215
AB_1215_scaffold_100751	AB_1215_Bin_3	AB_1215
AB_1215_scaffold_100752	NoBin	AB_1215
AB_1215_scaffold_100753	NoBin	AB_1215
AB_1215_scaffold_100754	NoBin	AB_1215
AB_1215_scaffold_100755	NoBin	AB_1215
AB_1215_scaffold_100756	NoBin	AB_1215
AB_1215_scaffold_100757	NoBin	AB_1215
AB_1215_scaffold_100758	NoBin	AB_1215
AB_1215_scaffold_100759	NoBin	AB_1215
AB_1215_scaffold_10076	NoBin	AB_1215
AB_1215_scaffold_100760	AB_1215_Bin_23	AB_1215
AB_1215_scaffold_100761	AB_1215_Bin_95	AB_1215
AB_1215_scaffold_100762	AB_1215_Bin_146	AB_1215
AB_1215_scaffold_100763	NoBin	AB_1215
AB_1215_scaffold_100764	NoBin	AB_1215
AB_1215_scaffold_100765	NoBin	AB_1215
AB_1215_scaffold_100766	NoBin	AB_1215
AB_1215_scaffold_100767	NoBin	AB_1215
AB_1215_scaffold_100768	NoBin	AB_1215
AB_1215_scaffold_100769	NoBin	AB_1215
AB_1215_scaffold_10077	AB_1215_Bin_18	AB_1215
AB_1215_scaffold_100770	NoBin	AB_1215
AB_1215_scaffold_100771	AB_1215_Bin_146	AB_1215
AB_1215_scaffold_100772	NoBin	AB_1215
AB_1215_scaffold_100773	NoBin	AB_1215
AB_1215_scaffold_100774	NoBin	AB_1215
AB_1215_scaffold_100775	NoBin	AB_1215
AB_1215_scaffold_100776	NoBin	AB_1215
AB_1215_scaffold_100777	NoBin	AB_1215
AB_1215_scaffold_100778	AB_1215_Bin_144	AB_1215
AB_1215_scaffold_100779	NoBin	AB_1215
AB_1215_scaffold_10078	AB_1215_Bin_71	AB_1215
AB_1215_scaffold_100780	AB_1215_Bin_92	AB_1215
AB_1215_scaffold_100781	NoBin	AB_1215
AB_1215_scaffold_100782	NoBin	AB_1215
AB_1215_scaffold_100783	AB_1215_Bin_46	AB_1215
AB_1215_scaffold_100784	NoBin	AB_1215
AB_1215_scaffold_100785	NoBin	AB_1215
AB_1215_scaffold_100786	NoBin	AB_1215
AB_1215_scaffold_100787	NoBin	AB_1215
AB_1215_scaffold_100788	NoBin	AB_1215
AB_1215_scaffold_100789	NoBin	AB_1215
AB_1215_scaffold_10079	NoBin	AB_1215
AB_1215_scaffold_100790	NoBin	AB_1215
AB_1215_scaffold_100791	NoBin	AB_1215
AB_1215_scaffold_100792	NoBin	AB_1215
AB_1215_scaffold_100793	NoBin	AB_1215
AB_1215_scaffold_100794	AB_1215_Bin_16	AB_1215
AB_1215_scaffold_100795	NoBin	AB_1215
AB_1215_scaffold_100796	NoBin	AB_1215
AB_1215_scaffold_100797	NoBin	AB_1215
AB_1215_scaffold_100798	NoBin	AB_1215
AB_1215_scaffold_100799	AB_1215_Bin_67	AB_1215
AB_1215_scaffold_1008	AB_1215_Bin_112	AB_1215
AB_1215_scaffold_10080	AB_1215_Bin_16	AB_1215
AB_1215_scaffold_100800	NoBin	AB_1215
AB_1215_scaffold_100801	NoBin	AB_1215
AB_1215_scaffold_100802	NoBin	AB_1215
AB_1215_scaffold_100803	AB_1215_Bin_5	AB_1215
AB_1215_scaffold_100804	NoBin	AB_1215
AB_1215_scaffold_100805	NoBin	AB_1215
AB_1215_scaffold_100806	NoBin	AB_1215
AB_1215_scaffold_100807	AB_1215_Bin_125	AB_1215
AB_1215_scaffold_100808	AB_1215_Bin_118	AB_1215
AB_1215_scaffold_100809	AB_1215_Bin_81	AB_1215
AB_1215_scaffold_10081	NoBin	AB_1215
AB_1215_scaffold_100810	NoBin	AB_1215
AB_1215_scaffold_100811	NoBin	AB_1215
AB_1215_scaffold_100812	NoBin	AB_1215
AB_1215_scaffold_100813	NoBin	AB_1215
AB_1215_scaffold_100814	NoBin	AB_1215
AB_1215_scaffold_100815	NoBin	AB_1215
AB_1215_scaffold_100816	AB_1215_Bin_5	AB_1215
AB_1215_scaffold_100817	NoBin	AB_1215
AB_1215_scaffold_100818	NoBin	AB_1215
AB_1215_scaffold_100819	NoBin	AB_1215
AB_1215_scaffold_10082	AB_1215_Bin_80	AB_1215
AB_1215_scaffold_100820	NoBin	AB_1215
AB_1215_scaffold_100821	NoBin	AB_1215
AB_1215_scaffold_100822	NoBin	AB_1215
AB_1215_scaffold_100823	NoBin	AB_1215
AB_1215_scaffold_100824	NoBin	AB_1215
AB_1215_scaffold_100825	NoBin	AB_1215
AB_1215_scaffold_100826	NoBin	AB_1215
AB_1215_scaffold_100827	NoBin	AB_1215
AB_1215_scaffold_100828	NoBin	AB_1215
AB_1215_scaffold_100829	NoBin	AB_1215
AB_1215_scaffold_10083	AB_1215_Bin_43	AB_1215
AB_1215_scaffold_100830	AB_1215_Bin_89	AB_1215
AB_1215_scaffold_100831	NoBin	AB_1215
AB_1215_scaffold_100832	AB_1215_Bin_139	AB_1215
AB_1215_scaffold_100833	NoBin	AB_1215
AB_1215_scaffold_100834	NoBin	AB_1215
AB_1215_scaffold_100835	AB_1215_Bin_61	AB_1215
AB_1215_scaffold_100836	NoBin	AB_1215
AB_1215_scaffold_100837	NoBin	AB_1215
AB_1215_scaffold_100838	NoBin	AB_1215
AB_1215_scaffold_100839	NoBin	AB_1215
AB_1215_scaffold_10084	AB_1215_Bin_124	AB_1215
AB_1215_scaffold_100840	NoBin	AB_1215
AB_1215_scaffold_100841	NoBin	AB_1215
AB_1215_scaffold_100842	NoBin	AB_1215
AB_1215_scaffold_100843	NoBin	AB_1215
AB_1215_scaffold_100844	NoBin	AB_1215
AB_1215_scaffold_100845	NoBin	AB_1215
AB_1215_scaffold_100846	AB_1215_Bin_90	AB_1215
AB_1215_scaffold_100847	NoBin	AB_1215
AB_1215_scaffold_100848	AB_1215_Bin_89	AB_1215
AB_1215_scaffold_100849	NoBin	AB_1215
AB_1215_scaffold_10085	NoBin	AB_1215
AB_1215_scaffold_100850	NoBin	AB_1215
AB_1215_scaffold_100851	NoBin	AB_1215
AB_1215_scaffold_100852	NoBin	AB_1215
AB_1215_scaffold_100853	NoBin	AB_1215
AB_1215_scaffold_100854	NoBin	AB_1215
AB_1215_scaffold_100855	AB_1215_Bin_61	AB_1215
AB_1215_scaffold_100856	AB_1215_Bin_22	AB_1215
AB_1215_scaffold_100857	NoBin	AB_1215
AB_1215_scaffold_100858	AB_1215_Bin_26	AB_1215
AB_1215_scaffold_100859	NoBin	AB_1215
AB_1215_scaffold_10086	NoBin	AB_1215
AB_1215_scaffold_100860	NoBin	AB_1215
AB_1215_scaffold_100861	NoBin	AB_1215
AB_1215_scaffold_100862	AB_1215_Bin_59	AB_1215
AB_1215_scaffold_100863	NoBin	AB_1215
AB_1215_scaffold_100864	NoBin	AB_1215
AB_1215_scaffold_100865	NoBin	AB_1215
AB_1215_scaffold_100866	AB_1215_Bin_22	AB_1215
AB_1215_scaffold_100867	NoBin	AB_1215
AB_1215_scaffold_100868	NoBin	AB_1215
AB_1215_scaffold_100869	AB_1215_Bin_42	AB_1215
AB_1215_scaffold_10087	AB_1215_Bin_108	AB_1215
AB_1215_scaffold_100870	AB_1215_Bin_147	AB_1215
AB_1215_scaffold_100871	NoBin	AB_1215
AB_1215_scaffold_100872	NoBin	AB_1215
AB_1215_scaffold_100873	NoBin	AB_1215
AB_1215_scaffold_100874	NoBin	AB_1215
AB_1215_scaffold_100875	NoBin	AB_1215
AB_1215_scaffold_100876	NoBin	AB_1215
AB_1215_scaffold_100877	NoBin	AB_1215
AB_1215_scaffold_100878	NoBin	AB_1215
AB_1215_scaffold_100879	NoBin	AB_1215
AB_1215_scaffold_10088	AB_1215_Bin_101	AB_1215
AB_1215_scaffold_100880	AB_1215_Bin_67	AB_1215
AB_1215_scaffold_100881	AB_1215_Bin_145	AB_1215
AB_1215_scaffold_100882	AB_1215_Bin_33	AB_1215
AB_1215_scaffold_100883	NoBin	AB_1215
AB_1215_scaffold_100884	NoBin	AB_1215
AB_1215_scaffold_100885	NoBin	AB_1215
AB_1215_scaffold_100886	NoBin	AB_1215
AB_1215_scaffold_100887	AB_1215_Bin_80	AB_1215
AB_1215_scaffold_100888	AB_1215_Bin_74	AB_1215
AB_1215_scaffold_100889	NoBin	AB_1215
AB_1215_scaffold_10089	AB_1215_Bin_100	AB_1215
AB_1215_scaffold_100890	NoBin	AB_1215
AB_1215_scaffold_100891	NoBin	AB_1215
AB_1215_scaffold_100892	AB_1215_Bin_151	AB_1215
AB_1215_scaffold_100893	NoBin	AB_1215
